key,ttr,gulpease,flesch_vacca,lexical_density
prompt__role_playing__llama3.2-1b,64.94464944649447,53.83394833948339,48.74884686346863,57.564575645756456
prompt__role_playing__llama3.2-1b,60.0,63.7037037037037,44.574074074074076,56.2962962962963
prompt__role_playing__llama3.2-1b,63.86554621848739,61.18487394957983,58.72268907563026,52.94117647058824
prompt__role_playing__llama3.2-1b,51.410658307210035,59.90909090909091,46.457912457912435,53.60501567398119
prompt__role_playing__llama3.2-1b,90.0,55.25,38.291666666666664,57.49999999999999
prompt__role_playing__llama3.2-1b,59.36254980079681,50.79282868525896,34.56198734473868,57.37051792828686
prompt__role_playing__llama3.2-1b,47.863247863247864,67.11965811965811,44.77777777777777,59.82905982905983
prompt__role_playing__llama3.2-1b,47.82608695652174,54.34526854219949,40.6802085382648,52.42966751918159
prompt__role_playing__llama3.2-1b,57.230769230769226,57.738461538461536,37.993103448275846,56.30769230769231
prompt__role_playing__llama3.2-1b,61.94690265486725,50.88790560471976,42.924594395280224,54.572271386430685
prompt__role_playing__llama3.2-1b,41.959798994974875,66.08542713567839,55.07405448294104,53.517587939698494
prompt__role_playing__llama3.2-1b,51.06382978723404,60.22931442080378,49.72903629536921,53.664302600472816
prompt__role_playing__llama3.2-1b,58.82352941176471,57.78431372549019,38.40323955669222,56.470588235294116
prompt__role_playing__llama3.2-1b,54.0,58.92,43.47999999999999,52.800000000000004
prompt__role_playing__llama3.2-1b,56.13577023498695,56.85900783289817,43.37693646649261,58.7467362924282
prompt__role_playing__llama3.2-1b,58.187134502923975,53.239766081871345,47.166666666666686,60.23391812865497
prompt__role_playing__llama3.2-1b,47.340425531914896,56.84574468085106,40.47464539007092,56.91489361702128
prompt__role_playing__llama3.2-1b,55.80110497237569,58.47513812154696,46.73164956590371,53.03867403314917
prompt__role_playing__llama3.2-1b,52.07667731629393,56.31629392971246,51.15053561360648,52.715654952076676
prompt__role_playing__llama3.2-1b,64.84018264840182,57.31050228310502,50.715068493150675,58.9041095890411
prompt__role_playing__llama3.2-1b,71.21212121212122,57.838383838383834,52.99350649350649,58.080808080808076
