key,ttr,gulpease,flesch_vacca,lexical_density
prompt__role_playing__qwen3-0.6b,83.33333333333334,48.5,29.583333333333314,58.333333333333336
prompt__role_playing__qwen3-0.6b,67.52136752136752,57.11965811965812,32.63333333333334,57.26495726495726
prompt__role_playing__qwen3-0.6b,68.75,68.296875,46.64635416666667,57.8125
prompt__role_playing__qwen3-0.6b,79.74683544303798,55.20253164556962,47.858227848101265,58.22784810126582
prompt__role_playing__qwen3-0.6b,68.51851851851852,69.55555555555556,48.43304843304843,56.481481481481474
prompt__role_playing__qwen3-0.6b,72.94117647058823,45.0,31.470588235294116,63.52941176470588
prompt__role_playing__qwen3-0.6b,75.75757575757575,69.20202020202021,51.898989898989896,54.54545454545454
prompt__role_playing__qwen3-0.6b,63.372093023255815,45.80232558139535,30.691860465116264,59.883720930232556
prompt__role_playing__qwen3-0.6b,69.56521739130434,42.21739130434783,17.95652173913041,55.65217391304348
prompt__role_playing__qwen3-0.6b,64.51612903225806,47.645161290322584,34.65053763440859,52.25806451612903
prompt__role_playing__qwen3-0.6b,66.3265306122449,67.6734693877551,58.904081632653075,51.02040816326531
prompt__role_playing__qwen3-0.6b,60.33057851239669,66.47933884297521,47.08486967577876,56.19834710743802
prompt__role_playing__qwen3-0.6b,65.85365853658537,65.70731707317073,41.52303523035229,51.21951219512195
prompt__role_playing__qwen3-0.6b,64.28571428571429,52.18181818181818,46.8246753246753,50.0
prompt__role_playing__qwen3-0.6b,75.75757575757575,54.45454545454545,44.12987012987011,60.60606060606061
prompt__role_playing__qwen3-0.6b,46.666666666666664,62.25490196078431,55.445378151260485,53.72549019607843
prompt__role_playing__qwen3-0.6b,79.72972972972973,43.45945945945946,15.524324324324322,62.16216216216216
prompt__role_playing__qwen3-0.6b,71.27659574468085,68.8936170212766,44.63539651837523,53.191489361702125
prompt__role_playing__qwen3-0.6b,70.37037037037037,49.370370370370374,31.080687830687836,61.111111111111114
prompt__role_playing__qwen3-0.6b,70.78651685393258,51.13483146067416,40.67191011235953,55.0561797752809
prompt__role_playing__qwen3-0.6b,82.14285714285714,44.357142857142854,25.595238095238074,60.71428571428571
