key,ttr,gulpease,flesch_vacca,lexical_density
prompt__role_playing__smollm2-1.7b,75.9493670886076,48.11392405063291,41.438818565400865,59.49367088607595
prompt__role_playing__smollm2-1.7b,64.76190476190476,48.285714285714285,40.428571428571416,57.14285714285714
prompt__role_playing__smollm2-1.7b,71.42857142857143,52.63636363636363,51.04545454545453,50.649350649350644
prompt__role_playing__smollm2-1.7b,93.93939393939394,46.878787878787875,22.075757575757564,60.60606060606061
prompt__role_playing__smollm2-1.7b,64.7887323943662,48.014084507042256,43.48356807511736,59.154929577464785
prompt__role_playing__smollm2-1.7b,90.9090909090909,70.21212121212122,48.05303030303028,54.54545454545454
prompt__role_playing__smollm2-1.7b,94.02985074626866,52.43283582089552,46.63805970149255,55.223880597014926
prompt__role_playing__smollm2-1.7b,73.68421052631578,40.68421052631579,20.385964912280702,53.68421052631579
prompt__role_playing__smollm2-1.7b,68.8118811881188,55.78217821782178,63.823903818953326,39.603960396039604
prompt__role_playing__smollm2-1.7b,60.810810810810814,58.369369369369366,47.19256756756758,53.153153153153156
prompt__role_playing__smollm2-1.7b,71.23287671232876,58.52054794520548,59.61917808219177,51.369863013698634
prompt__role_playing__smollm2-1.7b,100.0,59.0,43.0,69.23076923076923
prompt__role_playing__smollm2-1.7b,58.22222222222222,57.53333333333333,47.7424836601307,56.44444444444444
prompt__role_playing__smollm2-1.7b,80.95238095238095,54.95238095238095,62.0,39.285714285714285
prompt__role_playing__smollm2-1.7b,69.93464052287581,61.74509803921569,71.02815485168425,23.52941176470588
prompt__role_playing__smollm2-1.7b,59.859154929577464,56.25352112676056,66.82478202548624,36.267605633802816
prompt__role_playing__smollm2-1.7b,92.98245614035088,53.03508771929825,48.640350877192986,49.122807017543856
prompt__role_playing__smollm2-1.7b,91.8918918918919,50.62162162162162,30.28828828828828,54.054054054054056
prompt__role_playing__smollm2-1.7b,60.70175438596491,53.526315789473685,43.21052631578945,55.43859649122807
prompt__role_playing__smollm2-1.7b,94.0,45.6,28.900000000000006,56.00000000000001
prompt__role_playing__smollm2-1.7b,88.0,62.2,54.39999999999998,62.0
