key,ttr,gulpease,flesch_vacca,lexical_density
vector_rerank__deepseek-r1-1.5b__nomic,64.46280991735537,63.710743801652896,53.719008264462786,54.54545454545454
vector_rerank__deepseek-r1-1.5b__nomic,0.16044741908865864,71.87728064545705,66.5704502576199,60.5138901622811
vector_rerank__deepseek-r1-1.5b__nomic,81.57894736842105,63.60526315789474,47.68421052631578,50.0
vector_rerank__deepseek-r1-1.5b__nomic,70.66666666666667,50.86666666666667,38.18333333333331,57.333333333333336
vector_rerank__deepseek-r1-1.5b__nomic,73.33333333333333,48.333333333333336,36.73333333333332,57.333333333333336
vector_rerank__deepseek-r1-1.5b__nomic,100.0,64.88235294117646,48.382352941176464,58.82352941176471
vector_rerank__deepseek-r1-1.5b__nomic,69.23076923076923,54.16483516483517,43.69047619047617,59.34065934065934
vector_rerank__deepseek-r1-1.5b__nomic,57.52212389380531,51.65486725663717,48.538348082595874,58.4070796460177
vector_rerank__deepseek-r1-1.5b__nomic,26.25,57.660714285714285,51.484126984127,48.75
vector_rerank__deepseek-r1-1.5b__nomic,54.91525423728814,64.76271186440678,62.21694915254234,54.57627118644067
vector_rerank__deepseek-r1-1.5b__nomic,94.82758620689656,56.58620689655172,69.34482758620688,36.206896551724135
vector_rerank__deepseek-r1-1.5b__nomic,77.90697674418605,72.13953488372093,59.8678646934461,52.32558139534884
vector_rerank__deepseek-r1-1.5b__nomic,93.54838709677419,56.74193548387097,50.01612903225808,58.06451612903226
vector_rerank__deepseek-r1-1.5b__nomic,63.23529411764706,69.0,59.59453781512605,61.76470588235294
vector_rerank__deepseek-r1-1.5b__nomic,74.46808510638297,60.773049645390074,52.770212765957446,36.17021276595745
vector_rerank__deepseek-r1-1.5b__nomic,75.0,68.5,68.64285714285711,30.714285714285715
vector_rerank__deepseek-r1-1.5b__nomic,83.82352941176471,33.85294117647059,46.21218487394959,47.05882352941176
vector_rerank__deepseek-r1-1.5b__nomic,66.37931034482759,51.8448275862069,35.72413793103448,62.93103448275862
vector_rerank__deepseek-r1-1.5b__nomic,63.94557823129252,49.06802721088435,52.59183673469387,42.17687074829932
vector_rerank__deepseek-r1-1.5b__nomic,96.29629629629629,52.7037037037037,48.05555555555554,59.25925925925925
vector_rerank__deepseek-r1-1.5b__nomic,96.42857142857143,47.57142857142857,31.75,64.28571428571429
