key,ttr,gulpease,flesch_vacca,lexical_density
vector_rerank__llama3.2-1b__mxbai,65.12820512820512,52.48717948717949,44.60606060606059,57.948717948717956
vector_rerank__llama3.2-1b__mxbai,61.40939597315436,55.1744966442953,47.66592095451155,59.395973154362416
vector_rerank__llama3.2-1b__mxbai,54.761904761904766,53.84126984126984,47.07698412698416,57.936507936507944
vector_rerank__llama3.2-1b__mxbai,54.82758620689655,53.172413793103445,41.733716475095775,57.24137931034483
vector_rerank__llama3.2-1b__mxbai,65.04065040650406,53.8780487804878,42.1290650406504,58.536585365853654
vector_rerank__llama3.2-1b__mxbai,52.066115702479344,50.900826446280995,44.552341597796115,56.19834710743802
vector_rerank__llama3.2-1b__mxbai,61.057692307692314,56.74038461538461,47.70535714285714,53.84615384615385
vector_rerank__llama3.2-1b__mxbai,54.437869822485204,59.710059171597635,52.09538461538462,52.95857988165681
vector_rerank__llama3.2-1b__mxbai,42.36760124610592,41.46105919003115,21.338844955667398,54.82866043613706
vector_rerank__llama3.2-1b__mxbai,55.871886120996436,53.48398576512456,41.89051706091689,56.58362989323843
vector_rerank__llama3.2-1b__mxbai,96.29629629629629,62.33333333333333,69.72222222222221,55.55555555555556
vector_rerank__llama3.2-1b__mxbai,53.135313531353134,58.17491749174917,47.14732673267327,57.755775577557756
vector_rerank__llama3.2-1b__mxbai,93.02325581395348,33.18604651162791,-7.813953488372107,55.81395348837209
vector_rerank__llama3.2-1b__mxbai,64.77272727272727,47.46590909090909,40.14691558441561,57.38636363636363
vector_rerank__llama3.2-1b__mxbai,56.97674418604651,49.968992248062015,39.383720930232556,56.58914728682171
vector_rerank__llama3.2-1b__mxbai,50.797872340425535,48.015957446808514,32.825,59.308510638297875
vector_rerank__llama3.2-1b__mxbai,58.139534883720934,40.33720930232558,17.856589147286815,55.81395348837209
vector_rerank__llama3.2-1b__mxbai,60.48109965635739,55.28865979381443,38.649015932521074,59.79381443298969
vector_rerank__llama3.2-1b__mxbai,44.054054054054056,51.32432432432432,39.35898942420681,55.4054054054054
vector_rerank__llama3.2-1b__mxbai,55.33980582524271,49.679611650485434,35.168284789644005,64.56310679611651
vector_rerank__llama3.2-1b__mxbai,51.92307692307693,51.11538461538461,40.27380952380953,60.16483516483516
