key,ttr,gulpease,flesch_vacca,lexical_density
vector_rerank__llama3.2-1b__nomic,79.82456140350878,49.0,31.77568922305766,63.1578947368421
vector_rerank__llama3.2-1b__nomic,60.370370370370374,51.03703703703704,39.65468409586054,59.25925925925925
vector_rerank__llama3.2-1b__nomic,58.730158730158735,46.08994708994709,34.70899470899471,59.78835978835979
vector_rerank__llama3.2-1b__nomic,53.71024734982333,47.62190812720848,36.3389281507656,56.18374558303887
vector_rerank__llama3.2-1b__nomic,70.17543859649122,48.91228070175438,40.085964912280716,57.89473684210527
vector_rerank__llama3.2-1b__nomic,73.48484848484848,44.833333333333336,31.348484848484844,59.84848484848485
vector_rerank__llama3.2-1b__nomic,78.65168539325843,50.01123595505618,41.40224719101123,58.42696629213483
vector_rerank__llama3.2-1b__nomic,71.80851063829788,57.670212765957444,43.413475177304946,58.51063829787234
vector_rerank__llama3.2-1b__nomic,58.18815331010453,44.47038327526133,23.41093205574913,61.672473867595826
vector_rerank__llama3.2-1b__nomic,63.75545851528385,46.248908296943235,31.33902342199283,58.07860262008734
vector_rerank__llama3.2-1b__nomic,61.904761904761905,57.9795918367347,49.371057513914664,60.544217687074834
vector_rerank__llama3.2-1b__nomic,55.590062111801245,46.391304347826086,30.45583160800552,61.49068322981367
vector_rerank__llama3.2-1b__nomic,59.31372549019608,50.86274509803921,36.69607843137254,56.372549019607845
vector_rerank__llama3.2-1b__nomic,72.51908396946564,44.80152671755725,31.34223918575064,60.30534351145038
vector_rerank__llama3.2-1b__nomic,65.53398058252428,51.57281553398058,38.697535474234506,60.19417475728155
vector_rerank__llama3.2-1b__nomic,55.769230769230774,53.94505494505494,45.83333333333331,58.51648351648352
vector_rerank__llama3.2-1b__nomic,49.82078853046595,47.85304659498208,31.84203789042498,54.48028673835126
vector_rerank__llama3.2-1b__nomic,60.26058631921825,66.00325732899023,46.794689566676546,56.67752442996743
vector_rerank__llama3.2-1b__nomic,68.81720430107528,49.32258064516129,39.92688172043008,60.215053763440864
vector_rerank__llama3.2-1b__nomic,66.47727272727273,54.34090909090909,46.33522727272725,64.20454545454545
vector_rerank__llama3.2-1b__nomic,49.84126984126984,51.95238095238095,45.16964285714286,59.36507936507937
