key,ttr,gulpease,flesch_vacca,lexical_density
vector_rerank__qwen3-0.6b__mxbai,84.28571428571429,59.57142857142857,41.11904761904761,58.57142857142858
vector_rerank__qwen3-0.6b__mxbai,83.33333333333334,56.083333333333336,35.5625,58.333333333333336
vector_rerank__qwen3-0.6b__mxbai,89.58333333333334,57.125,39.625,60.416666666666664
vector_rerank__qwen3-0.6b__mxbai,79.45205479452055,54.205479452054796,47.065068493150676,54.794520547945204
vector_rerank__qwen3-0.6b__mxbai,77.96610169491525,56.28813559322034,49.13135593220338,57.6271186440678
vector_rerank__qwen3-0.6b__mxbai,92.85714285714286,47.57142857142857,24.857142857142833,66.66666666666666
vector_rerank__qwen3-0.6b__mxbai,76.31578947368422,64.26315789473685,45.9736842105263,55.26315789473685
vector_rerank__qwen3-0.6b__mxbai,77.38095238095238,46.857142857142854,31.785714285714278,59.523809523809526
vector_rerank__qwen3-0.6b__mxbai,69.47368421052632,48.36842105263158,34.42105263157893,58.94736842105262
vector_rerank__qwen3-0.6b__mxbai,72.72727272727273,62.33333333333333,55.08964646464645,45.45454545454545
vector_rerank__qwen3-0.6b__mxbai,76.92307692307693,64.0,66.75,48.07692307692308
vector_rerank__qwen3-0.6b__mxbai,78.94736842105263,45.31578947368421,30.48684210526315,53.94736842105263
vector_rerank__qwen3-0.6b__mxbai,69.84126984126983,47.888888888888886,33.333333333333314,55.55555555555556
vector_rerank__qwen3-0.6b__mxbai,78.68852459016394,53.75409836065574,43.70081967213116,52.459016393442624
vector_rerank__qwen3-0.6b__mxbai,83.33333333333334,51.592592592592595,33.611111111111086,55.55555555555556
vector_rerank__qwen3-0.6b__mxbai,77.14285714285715,47.0,28.785714285714278,62.857142857142854
vector_rerank__qwen3-0.6b__mxbai,85.96491228070175,45.49122807017544,28.114035087719287,63.1578947368421
vector_rerank__qwen3-0.6b__mxbai,82.75862068965517,48.310344827586206,18.913793103448256,60.3448275862069
vector_rerank__qwen3-0.6b__mxbai,83.72093023255815,58.76744186046511,55.62015503875967,53.48837209302325
vector_rerank__qwen3-0.6b__mxbai,87.5,52.57142857142857,38.78571428571428,66.07142857142857
vector_rerank__qwen3-0.6b__mxbai,91.22807017543859,52.50877192982456,40.083333333333314,66.66666666666666
