key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__deepseek-r1-1.5b__mxbai,92.5,54.5,39.916666666666664,62.5
vector_store__deepseek-r1-1.5b__mxbai,21.476510067114095,67.50111856823267,53.3407742437506,59.06040268456376
vector_store__deepseek-r1-1.5b__mxbai,100.0,75.42857142857143,50.428571428571416,64.28571428571429
vector_store__deepseek-r1-1.5b__mxbai,76.66666666666667,61.33333333333333,72.55555555555556,34.44444444444444
vector_store__deepseek-r1-1.5b__mxbai,44.632768361581924,64.5367231638418,55.01920903954802,61.016949152542374
vector_store__deepseek-r1-1.5b__mxbai,59.130434782608695,57.565217391304344,66.89613526570048,36.95652173913043
vector_store__deepseek-r1-1.5b__mxbai,88.88888888888889,57.51851851851852,45.64814814814815,55.55555555555556
vector_store__deepseek-r1-1.5b__mxbai,70.2127659574468,45.59574468085106,25.892603850050644,58.156028368794324
vector_store__deepseek-r1-1.5b__mxbai,71.53846153846153,48.46153846153846,26.555555555555557,60.76923076923077
vector_store__deepseek-r1-1.5b__mxbai,100.0,58.31818181818181,36.93181818181819,59.09090909090909
vector_store__deepseek-r1-1.5b__mxbai,66.66666666666666,65.11111111111111,41.72222222222223,77.77777777777779
vector_store__deepseek-r1-1.5b__mxbai,54.666666666666664,74.64444444444445,55.2413793103448,55.111111111111114
vector_store__deepseek-r1-1.5b__mxbai,33.789954337899545,54.821917808219176,37.08418949771689,50.2283105022831
vector_store__deepseek-r1-1.5b__mxbai,82.66666666666667,54.333333333333336,47.133333333333326,44.0
vector_store__deepseek-r1-1.5b__mxbai,77.41935483870968,55.61290322580645,47.919354838709694,59.67741935483871
vector_store__deepseek-r1-1.5b__mxbai,63.6986301369863,58.65753424657534,42.9541622760801,56.16438356164384
vector_store__deepseek-r1-1.5b__mxbai,67.17171717171718,59.858585858585855,57.892929292929274,24.242424242424242
vector_store__deepseek-r1-1.5b__mxbai,82.53968253968253,54.55555555555556,47.86904761904759,53.96825396825397
vector_store__deepseek-r1-1.5b__mxbai,77.61194029850746,53.32835820895522,51.928358208955224,50.74626865671642
vector_store__deepseek-r1-1.5b__mxbai,100.0,73.0,55.49999999999997,60.0
vector_store__deepseek-r1-1.5b__mxbai,73.4375,55.40625,44.765625,50.0
