key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__llama3.2-1b__mxbai,68.26347305389223,54.38922155688623,47.23413173652695,57.48502994011976
vector_store__llama3.2-1b__mxbai,66.21621621621621,46.229729729729726,31.569819819819816,58.78378378378378
vector_store__llama3.2-1b__mxbai,63.793103448275865,48.224137931034484,37.95086206896552,57.327586206896555
vector_store__llama3.2-1b__mxbai,65.51724137931035,50.293103448275865,39.38229442970822,58.620689655172406
vector_store__llama3.2-1b__mxbai,54.736842105263165,49.0,41.88888888888886,58.42105263157895
vector_store__llama3.2-1b__mxbai,57.407407407407405,51.96296296296296,40.94197530864197,55.55555555555556
vector_store__llama3.2-1b__mxbai,64.45783132530121,66.2289156626506,61.01767068273094,54.21686746987952
vector_store__llama3.2-1b__mxbai,52.293577981651374,46.76758409785933,34.09461009174311,55.96330275229357
vector_store__llama3.2-1b__mxbai,61.64383561643836,50.41552511415525,34.53522504892371,56.16438356164384
vector_store__llama3.2-1b__mxbai,63.71308016877637,44.527426160337555,27.890717299578046,54.85232067510548
vector_store__llama3.2-1b__mxbai,44.77211796246649,47.68632707774799,37.328716115579375,55.49597855227882
vector_store__llama3.2-1b__mxbai,57.32217573221757,49.79497907949791,40.94636744009127,55.23012552301255
vector_store__llama3.2-1b__mxbai,50.6578947368421,59.82236842105263,44.85045546558702,57.56578947368421
vector_store__llama3.2-1b__mxbai,52.09125475285171,54.01901140684411,41.25184522478193,55.893536121673
vector_store__llama3.2-1b__mxbai,57.36434108527132,46.51937984496124,31.06976744186045,57.36434108527132
vector_store__llama3.2-1b__mxbai,49.36305732484077,55.52866242038217,49.86927509857445,56.68789808917197
vector_store__llama3.2-1b__mxbai,60.0,52.80769230769231,41.955882352941174,59.61538461538461
vector_store__llama3.2-1b__mxbai,51.057401812688816,48.60725075528701,36.499200284343345,58.91238670694864
vector_store__llama3.2-1b__mxbai,92.6829268292683,48.51219512195122,39.646341463414615,56.09756097560976
vector_store__llama3.2-1b__mxbai,68.62745098039215,52.8562091503268,43.70506535947709,57.51633986928104
vector_store__llama3.2-1b__mxbai,52.22551928783383,58.97032640949555,56.245616401402735,56.97329376854599
