key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__llama3.2-1b__nomic,61.5819209039548,48.03954802259887,36.615112994350284,59.887005649717516
vector_store__llama3.2-1b__nomic,52.38095238095239,47.74149659863946,33.05962384953982,57.48299319727891
vector_store__llama3.2-1b__nomic,56.92307692307692,48.80769230769231,37.5,59.61538461538461
vector_store__llama3.2-1b__nomic,50.993377483443716,41.847682119205295,20.61788079470198,53.973509933774835
vector_store__llama3.2-1b__nomic,56.63716814159292,57.02359882005899,46.90902654867256,55.75221238938053
vector_store__llama3.2-1b__nomic,54.91329479768786,49.23121387283237,38.5552344251766,57.80346820809249
vector_store__llama3.2-1b__nomic,61.45038167938931,60.25954198473282,45.23594725884803,54.961832061068705
vector_store__llama3.2-1b__nomic,59.24657534246576,59.54794520547945,52.74592302674494,51.71232876712328
vector_store__llama3.2-1b__nomic,51.873198847262245,51.59365994236311,32.6150069377735,56.77233429394812
vector_store__llama3.2-1b__nomic,58.47750865051903,52.87543252595156,41.051710880430605,59.16955017301038
vector_store__llama3.2-1b__nomic,51.66666666666667,53.2,39.76666666666668,59.0
vector_store__llama3.2-1b__nomic,56.986301369863014,55.32876712328767,45.37260273972603,56.71232876712329
vector_store__llama3.2-1b__nomic,46.42857142857143,43.32539682539682,21.21031746031747,59.92063492063492
vector_store__llama3.2-1b__nomic,52.0,49.83076923076923,40.08749999999998,57.230769230769226
vector_store__llama3.2-1b__nomic,55.762081784386616,47.88475836431227,37.53058465697869,54.27509293680297
vector_store__llama3.2-1b__nomic,59.14285714285714,53.4,46.61428571428573,60.57142857142858
vector_store__llama3.2-1b__nomic,40.40114613180516,47.42406876790831,34.63403374721423,62.17765042979943
vector_store__llama3.2-1b__nomic,30.434782608695656,46.12215320910973,31.584567606306724,59.8343685300207
vector_store__llama3.2-1b__nomic,63.970588235294116,59.0,47.86430481283422,58.08823529411765
vector_store__llama3.2-1b__nomic,54.019292604501615,47.038585209003216,34.557418465778575,60.45016077170418
vector_store__llama3.2-1b__nomic,63.35078534031413,49.52356020942408,36.85625892432175,57.59162303664922
