key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__qwen2.5-0.5b__nomic,70.45454545454545,47.25757575757576,30.0595238095238,59.09090909090909
vector_store__qwen2.5-0.5b__nomic,74.73684210526315,45.421052631578945,31.03947368421052,60.0
vector_store__qwen2.5-0.5b__nomic,61.395348837209305,47.0,35.15116279069767,58.6046511627907
vector_store__qwen2.5-0.5b__nomic,82.35294117647058,50.1764705882353,41.86274509803921,55.88235294117647
vector_store__qwen2.5-0.5b__nomic,80.7017543859649,55.8421052631579,58.140350877192986,54.385964912280706
vector_store__qwen2.5-0.5b__nomic,45.0,64.86666666666667,44.0059139784946,56.00000000000001
vector_store__qwen2.5-0.5b__nomic,89.47368421052632,52.1578947368421,37.61403508771929,59.64912280701754
vector_store__qwen2.5-0.5b__nomic,53.674121405750796,71.17252396166134,55.080476642776965,52.39616613418531
vector_store__qwen2.5-0.5b__nomic,100.0,56.93103448275862,48.051724137931046,65.51724137931035
vector_store__qwen2.5-0.5b__nomic,63.63636363636363,59.505050505050505,53.6080808080808,52.52525252525253
vector_store__qwen2.5-0.5b__nomic,79.72972972972973,61.97297297297297,55.76126126126125,56.75675675675676
vector_store__qwen2.5-0.5b__nomic,56.45645645645646,56.387387387387385,44.947822822822815,54.054054054054056
vector_store__qwen2.5-0.5b__nomic,41.284403669724774,61.752293577981646,40.74687239366136,55.04587155963303
vector_store__qwen2.5-0.5b__nomic,68.21192052980133,53.370860927152314,45.87785136129508,52.317880794701985
vector_store__qwen2.5-0.5b__nomic,74.58563535911603,60.38121546961326,50.861483820047354,54.14364640883977
vector_store__qwen2.5-0.5b__nomic,59.006211180124225,51.11180124223603,46.13664596273293,53.41614906832298
vector_store__qwen2.5-0.5b__nomic,77.89473684210526,54.89473684210526,50.84210526315789,52.63157894736842
vector_store__qwen2.5-0.5b__nomic,100.0,73.44444444444444,67.0,55.55555555555556
vector_store__qwen2.5-0.5b__nomic,61.274509803921575,53.01960784313726,43.06862745098039,52.94117647058824
vector_store__qwen2.5-0.5b__nomic,63.48314606741573,68.6067415730337,53.647405029427496,60.1123595505618
vector_store__qwen2.5-0.5b__nomic,78.49462365591397,49.75268817204301,37.8301075268817,55.91397849462365
