key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__qwen3-0.6b__mxbai,74.28571428571429,52.285714285714285,43.64285714285714,55.714285714285715
vector_store__qwen3-0.6b__mxbai,89.0909090909091,49.54545454545455,25.613636363636374,65.45454545454545
vector_store__qwen3-0.6b__mxbai,89.13043478260869,56.608695652173914,40.47826086956522,60.86956521739131
vector_store__qwen3-0.6b__mxbai,88.88888888888889,55.94444444444444,36.91666666666666,50.0
vector_store__qwen3-0.6b__mxbai,83.6734693877551,51.6530612244898,42.421768707483,57.14285714285714
vector_store__qwen3-0.6b__mxbai,86.27450980392157,51.35294117647059,31.387254901960773,58.82352941176471
vector_store__qwen3-0.6b__mxbai,80.0,56.714285714285715,36.476190476190474,60.0
vector_store__qwen3-0.6b__mxbai,77.94117647058823,51.64705882352941,39.882352941176464,57.35294117647059
vector_store__qwen3-0.6b__mxbai,68.53932584269663,47.42696629213483,34.76123595505618,58.42696629213483
vector_store__qwen3-0.6b__mxbai,74.19354838709677,53.83870967741935,33.196774193548386,58.06451612903226
vector_store__qwen3-0.6b__mxbai,94.87179487179486,53.61538461538461,36.33333333333334,61.53846153846154
vector_store__qwen3-0.6b__mxbai,84.4155844155844,49.0,32.74285714285714,62.33766233766234
vector_store__qwen3-0.6b__mxbai,70.73170731707317,49.853658536585364,29.478048780487804,57.3170731707317
vector_store__qwen3-0.6b__mxbai,84.48275862068965,54.3448275862069,41.32758620689657,58.620689655172406
vector_store__qwen3-0.6b__mxbai,81.81818181818183,54.45454545454545,38.818181818181785,54.54545454545454
vector_store__qwen3-0.6b__mxbai,74.02597402597402,50.55844155844156,31.898701298701305,62.33766233766234
vector_store__qwen3-0.6b__mxbai,75.5813953488372,49.348837209302324,38.627906976744185,53.48837209302325
vector_store__qwen3-0.6b__mxbai,77.10843373493977,49.48192771084337,28.074698795180716,60.24096385542169
vector_store__qwen3-0.6b__mxbai,92.85714285714286,60.42857142857143,46.928571428571416,57.14285714285714
vector_store__qwen3-0.6b__mxbai,82.92682926829268,50.34146341463415,38.99024390243901,59.756097560975604
vector_store__qwen3-0.6b__mxbai,84.0,52.2,41.06666666666666,57.333333333333336
