key,ttr,gulpease,flesch_vacca,lexical_density
vector_store__qwen3-0.6b__nomic,89.36170212765957,58.57446808510638,40.73936170212764,61.702127659574465
vector_store__qwen3-0.6b__nomic,85.45454545454545,52.09090909090909,31.52272727272728,63.63636363636363
vector_store__qwen3-0.6b__nomic,87.5,47.125,19.528125,60.9375
vector_store__qwen3-0.6b__nomic,84.90566037735849,50.132075471698116,28.410377358490564,56.60377358490566
vector_store__qwen3-0.6b__nomic,70.83333333333334,56.8125,54.583333333333314,59.375
vector_store__qwen3-0.6b__nomic,80.28169014084507,51.67605633802817,39.94014084507043,56.33802816901409
vector_store__qwen3-0.6b__nomic,82.85714285714286,63.285714285714285,51.33333333333331,54.285714285714285
vector_store__qwen3-0.6b__nomic,75.0,59.294117647058826,53.79705882352942,52.94117647058824
vector_store__qwen3-0.6b__nomic,77.6595744680851,52.61702127659574,36.13120567375886,55.319148936170215
vector_store__qwen3-0.6b__nomic,72.91666666666666,39.729166666666664,19.625,55.208333333333336
vector_store__qwen3-0.6b__nomic,82.8125,56.34375,48.828125,53.125
vector_store__qwen3-0.6b__nomic,83.33333333333334,54.77777777777778,41.47619047619045,55.55555555555556
vector_store__qwen3-0.6b__nomic,82.45614035087719,47.421052631578945,26.21052631578945,56.14035087719298
vector_store__qwen3-0.6b__nomic,60.526315789473685,56.01754385964912,55.859649122806985,51.75438596491229
vector_store__qwen3-0.6b__nomic,88.88888888888889,53.22222222222222,37.88888888888886,60.0
vector_store__qwen3-0.6b__nomic,67.91044776119402,47.656716417910445,34.748756218905484,58.2089552238806
vector_store__qwen3-0.6b__nomic,82.97872340425532,60.70212765957447,61.716312056737586,53.191489361702125
vector_store__qwen3-0.6b__nomic,74.22680412371135,54.876288659793815,39.35935198821795,59.79381443298969
vector_store__qwen3-0.6b__nomic,81.94444444444444,53.02777777777778,36.32222222222223,62.5
vector_store__qwen3-0.6b__nomic,76.78571428571429,59.0,43.90714285714283,58.92857142857143
vector_store__qwen3-0.6b__nomic,77.46478873239437,53.225352112676056,47.26408450704224,57.74647887323944
