correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5504510236985692,0.0,1.0,0.0
3.0,0.8150045564655513,0.8,1.0,1.0
1.0,0.7245235725888227,0.0,1.0,1.0
1.0,0.701484854465614,0.0,1.0,1.0
1.0,0.4293372230789214,0.0,0.0,0.0
1.0,0.460574219513414,0.0,1.0,1.0
1.0,0.5676799840670057,0.0,1.0,0.0
4.0,0.8260628240373025,0.0,1.0,1.0
5.0,0.9999999999999999,1.0,0.0,1.0
1.0,0.6270278339789831,1.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
3.0,0.8696006454246407,0.0,1.0,1.0
1.0,0.6121898537508432,1.0,0.0,0.0
5.0,0.8214955174386528,1.0,0.0,1.0
1.0,0.7671810325578378,0.7,1.0,1.0
5.0,0.7807373531681353,1.0,0.0,1.0
1.0,0.5718265539829633,0.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
4.0,0.8756031952293462,0.9,1.0,1.0
1.0,0.5555114629935807,0.0,1.0,0.0
1.0,0.5358524629802699,0.0,1.0,0.0
1.0,0.5579362622691886,0.0,1.0,1.0
1.0,0.8273342213150728,0.0,0.0,0.0
1.0,0.6434904912411491,1.0,0.0,0.0
3.0,0.8501963780390818,0.8,1.0,1.0
1.0,0.701270960961045,0.0,1.0,0.0
2.0,0.7067792216438867,1.0,1.0,1.0
1.0,0.7759073610225924,0.0,0.0,0.0
5.0,0.9999999999999999,1.0,1.0,1.0
1.0,0.41843529910105903,1.0,0.0,0.0
1.0,0.7091596340585252,0.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
1.0,0.5512053715041402,1.0,0.0,0.0
1.0,0.49827465568783347,1.0,1.0,0.0
5.0,0.9047027407754086,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
1.0,0.42205365717807486,0.0,0.0,0.0
1.0,0.37609859684728564,1.0,1.0,1.0
5.0,0.9999999999999999,1.0,1.0,1.0
1.0,0.49665471830936037,0.0,1.0,1.0
1.0,0.46611251082969124,0.0,1.0,0.0
1.0,0.6683323428843836,1.0,0.0,0.0
1.0,0.7055669052026208,1.0,1.0,0.0
5.0,0.9970476754478144,1.0,1.0,1.0
3.0,0.8641211415142626,1.0,1.0,1.0
1.0,0.7170758806719176,0.0,1.0,1.0
5.0,0.9999999999999999,1.0,0.0,1.0
2.0,0.6947226125551836,0.0,1.0,1.0
2.0,0.7790601868261775,0.7,1.0,1.0
4.0,0.8294952855571558,0.0,0.0,1.0
1.0,0.8569568431011204,0.7,1.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
