correctness,semantic_similarity,g_eval,faithfulness,relevancy
1.0,0.5504510236985692,0.0,1.0,0.0
3.0,0.8150045564655513,0.8,1.0,1.0
1.0,0.7245235725888227,1.0,1.0,1.0
1.0,0.701484854465614,0.0,1.0,1.0
4.0,0.7854760987421557,1.0,1.0,1.0
1.0,0.460574219513414,0.0,1.0,1.0
1.0,0.5612012948593963,0.0,1.0,0.0
4.0,0.8260628240373025,0.0,1.0,1.0
5.0,0.9999999999999999,1.0,0.0,1.0
1.0,0.6270278339789831,1.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
3.0,0.8696006454246407,0.0,1.0,1.0
1.0,0.7953873542434342,0.0,0.0,0.0
5.0,0.8214955174386528,1.0,0.0,1.0
1.0,0.7671810325578378,0.7,1.0,1.0
5.0,0.7810823212859476,1.0,0.0,1.0
1.0,0.5818959183600445,1.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
4.0,0.874290706289543,1.0,1.0,1.0
1.0,0.5555114629935807,0.0,1.0,0.0
1.0,0.5358524629802699,0.0,1.0,0.0
1.0,0.5593757538874928,0.0,1.0,1.0
1.0,0.7008436115483042,0.2,1.0,0.0
1.0,0.6434904912411491,1.0,0.0,0.0
3.0,0.8494353104843055,0.8,1.0,1.0
1.0,0.7085033149696843,0.0,0.0,0.0
2.0,0.7397015722899948,1.0,1.0,1.0
1.0,0.8135912995448418,1.0,0.0,0.0
5.0,0.9999999999999999,1.0,1.0,1.0
1.0,0.41843529910105903,1.0,0.0,0.0
1.0,0.7401276307521003,0.0,0.0,0.0
5.0,0.9999999999999999,1.0,0.0,1.0
1.0,0.5512053715041402,1.0,0.0,0.0
1.0,0.49827465568783347,1.0,1.0,0.0
5.0,0.9047027407754086,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0
1.0,0.4740191695258114,1.0,0.0,0.0
1.0,0.37609859684728564,1.0,1.0,1.0
5.0,0.9999999999999999,1.0,1.0,1.0
1.0,0.49665471830936037,0.0,1.0,1.0
1.0,0.46611251082969124,0.0,1.0,0.0
1.0,0.6413662654498276,1.0,0.0,0.0
1.0,0.7055669052026208,1.0,1.0,0.0
5.0,0.9970476754478144,1.0,1.0,1.0
3.0,0.8641211415142626,1.0,1.0,1.0
1.0,0.7170758806719176,0.0,1.0,1.0
5.0,0.9999999999999999,1.0,0.0,1.0
2.0,0.6947226125551836,0.0,1.0,1.0
2.0,0.792067380141314,0.8,1.0,1.0
4.0,0.8294952855571558,0.0,0.0,1.0
2.0,0.8324256299882608,0.7,1.0,1.0
5.0,0.9999999999999999,1.0,0.0,1.0
