correctness,semantic_similarity,g_eval,faithfulness,relevancy
2.0,0.6692265806595444,0.7,1.0,1.0
3.0,0.8191476329104646,0.8,1.0,1.0
1.0,0.4655612997867945,0.0,1.0,0.0
1.0,0.6493020619558041,0.7,1.0,1.0
2.0,0.7712784917780693,0.8,1.0,1.0
1.0,0.49725398385464714,0.0,1.0,1.0
5.0,0.8775806795171369,1.0,1.0,1.0
1.0,0.6613302963559448,0.0,1.0,1.0
5.0,0.8669505854940435,1.0,1.0,1.0
1.0,0.6984952671989704,1.0,0.0,0.0
5.0,0.8669505854940435,1.0,1.0,1.0
5.0,0.704227990832119,0.0,1.0,1.0
2.0,0.808001299472505,1.0,1.0,1.0
1.0,0.46591976613740826,1.0,0.0,0.0
1.0,0.6633561279592753,0.7,1.0,1.0
1.0,0.48500184035870425,1.0,0.0,0.0
1.0,0.6382465040870405,0.0,1.0,0.0
5.0,0.8669505854940435,1.0,1.0,1.0
2.0,0.669618492629736,1.0,1.0,1.0
1.0,0.4789366656826359,0.0,1.0,0.0
1.0,0.7220039181710922,0.8,1.0,1.0
2.0,0.7200951622424865,0.0,1.0,1.0
3.0,0.7759060118017659,0.7,1.0,1.0
1.0,0.595402052751468,0.8,1.0,0.0
3.0,0.8461072485111665,0.8,1.0,1.0
3.0,0.7694707530833785,1.0,1.0,1.0
1.0,0.567476788600231,1.0,0.0,1.0
1.0,0.8032999456233095,1.0,1.0,0.0
5.0,0.9999999999999999,1.0,1.0,1.0
1.0,0.4181363168554156,1.0,1.0,1.0
4.0,0.8832539943240655,1.0,1.0,1.0
5.0,0.8669505854940435,1.0,1.0,1.0
1.0,0.6023019942171272,1.0,1.0,1.0
1.0,0.49549412049899727,0.0,1.0,0.0
5.0,0.9047027407754086,1.0,1.0,1.0
1.0,0.5858531005217127,0.6,1.0,1.0
1.0,0.49854395240353505,1.0,0.0,0.0
5.0,1.0,1.0,1.0,1.0
5.0,0.8669505854940435,1.0,1.0,1.0
1.0,0.6256334420390308,1.0,0.0,1.0
1.0,0.46594332009325345,0.0,1.0,1.0
3.0,0.7796365382960436,0.7,1.0,1.0
1.0,0.7679109279975792,0.8,1.0,1.0
4.0,0.9535115624808125,0.9,1.0,1.0
3.0,0.8641211415142626,1.0,1.0,1.0
1.0,0.6302572164386762,1.0,1.0,1.0
5.0,0.8669505854940435,1.0,1.0,1.0
3.0,0.6119927426086001,0.5,1.0,1.0
1.0,0.659288626984899,0.5,1.0,1.0
4.0,0.8294952855571558,0.0,0.0,1.0
3.0,0.8641211415142626,1.0,1.0,1.0
5.0,0.8669505854940435,1.0,1.0,1.0
